STT_API,Method,Endpoint,Phan,Ten_field,Kieu,Bat_buoc,Gia_tri_vi_du,Range_Cho_phep,Mo_ta_cong_dung,Vi_tri_UI,Component_file,Ham_su_dung,Logic_xu_ly
6,GET,/api/v1/me,RESPONSE,id,string,Y,U001,,"ID user hiện tại dùng để identify trong hệ thống","Không render trực tiếp — dùng để match data","auth.service.ts","getCurrentUser()","localStorage key: current_user.id. Sẽ dùng để fetch employee profile"
6,GET,/api/v1/me,RESPONSE,email,string,Y,admin@ptscmc.vn,,"Email đăng nhập","Shell: user dropdown hiển thị tên/email","auth.service.ts | shell.component.ts","getCurrentUser()","currentUser.email — hiện trong shell user info"
6,GET,/api/v1/me,RESPONSE,fullName,string,Y,HR Admin,,"Tên đầy đủ để hiển thị trên shell","Shell header: userInitials() tính từ fullName","shell.component.ts","userInitials","Tách từ theo space, lấy 2 chữ cái đầu cuối làm initials"
6,GET,/api/v1/me,RESPONSE,role,string,Y,Admin,"Admin|HR Manager|Line Manager|Viewer","Vai trò để phân quyền xem dữ liệu","Không render nhưng dùng trong SuccessionComponent: currentUser().role === 'Line Manager'","auth.service.ts | succession.component.ts","getCurrentUser()","isRestrictedView = role === 'Line Manager' → pruneTree() chỉ hiện data của team mình"
6,GET,/api/v1/me,RESPONSE,department,string,O,Kỹ thuật,,"Phòng ban (cần cho Line Manager view)","Succession map banner: 'Team của bạn · {department}'","succession.component.ts","currentUser()","Dùng để filter treeRoots() khi role=Line Manager: n.department === user.department"
6,GET,/api/v1/me,RESPONSE,talentId,string,O,T020,,"ID talent record của user (nếu là nhân viên trong hệ thống)","Succession map: highlight vị trí user là successor","succession.component.ts","currentUser()","Dùng để filter: n.successors.some(s => s.talentId === user.talentId)"
7,GET,/api/v1/me/modules,RESPONSE,data[].id,string,Y,MOD001,,"ID module để reference","Admin tab Settings","admin.component.ts","modules signal","Dùng làm key trong *ngFor"
7,GET,/api/v1/me/modules,RESPONSE,data[].name,string,Y,Succession Planning,,"Tên module hiển thị","Admin Settings tab: card title","admin.component.ts","modules signal","Render trong template"
7,GET,/api/v1/me/modules,RESPONSE,data[].status,string,Y,active,"active|available|coming","Trạng thái kích hoạt module","Shell navGroups: disabled prop theo status; Admin badge màu","shell.component.ts | admin.component.ts","modules signal","active → disabled=false trong navGroups; available/coming → disabled=true"
7,GET,/api/v1/me/modules,RESPONSE,data[].tier,string,Y,core,"core|pro|enterprise","Tier module để hiển thị badge giá","Admin Settings tab: badge tier","admin.component.ts","modules signal","Render badge core/pro/enterprise"
